,method,alpha,final_acc,final_f1,final_loss,best_acc,best_f1,total_comm_mb,mean_bias
0,standard_lora,10.0,0.8546052631578948,0.8538307015599046,0.4099491809891831,0.8546052631578948,0.8538307015599046,230.0,0.09732052404433489
1,ffa_lora,10.0,0.8177631578947369,0.8158243212223861,0.5387944625220017,0.8177631578947369,0.8158243212223861,85.625,0.0
2,rolora,10.0,0.809078947368421,0.8058667812329133,0.5617656057386806,0.809078947368421,0.8058667812329133,109.6875,0.0
3,standard_lora,0.5,0.6489473684210526,0.5752244821128076,1.4846214566904268,0.6489473684210526,0.5752244821128076,230.0,0.09503591489046812
4,ffa_lora,0.5,0.536578947368421,0.4731909381614887,2.042011557900788,0.536578947368421,0.4731909381614887,85.625,0.0
5,rolora,0.5,0.5625,0.4985863570280387,1.7037287190948662,0.5625,0.4985863570280387,109.6875,0.0
6,standard_lora,0.1,0.3418421052631579,0.2364713054402567,3.8583692434645798,0.3418421052631579,0.2364713054402567,230.0,0.1216301579028368
7,ffa_lora,0.1,0.3053947368421053,0.1882561157956894,3.4713337151196444,0.3053947368421053,0.1882561157956894,85.625,0.0
8,rolora,0.1,0.28039473684210525,0.15726764222876843,3.8684610405387847,0.28039473684210525,0.15726764222876843,109.6875,0.0
